passenger_count,trip_category,avg_trip_distance,avg_fare_amount,count
1.0,Medium,3.5247633024677336,19.688275643658823,759408
,Short,0.9456524126348418,13.32491860990985,30962
3.0,Short,1.1419325265859992,10.056496760787066,57267
3.0,Long,15.032551908397005,60.7077167938933,13100
0.0,Medium,3.397525884902443,19.32458764748368,16612
6.0,Medium,3.467207594671139,20.178674079513254,9533
7.0,Short,0.01,65.0,4
9.0,Short,0.0,90.0,1
6.0,Long,14.564301859278178,58.49892453518055,2743
8.0,Long,18.333333333333332,83.33333333333333,3
,Medium,3.8191251894160487,21.725834304697464,34316
2.0,Medium,3.533597209028037,19.933123071380077,152635
7.0,Long,12.695,74.5,2
0.0,Short,1.0718750404661814,9.755939786338654,30890
4.0,Medium,3.5637025229483763,20.233557412191505,18193
5.0,Medium,3.530925032284387,19.98063617209271,14713
4.0,Long,15.063123608017777,61.121790089086744,7184
6.0,Short,1.1627536597677877,9.698886925795087,15848
5.0,Long,14.002870327641935,56.91822796492849,4334
5.0,Short,1.1619074215113774,9.444242616569374,23634
0.0,Long,14.134396504642256,57.197894593118384,3662
,Long,208.36301005413688,51.92492498066505,6465
2.0,Short,1.1368294835149215,9.987178605959189,236851
8.0,Short,0.052000000000000005,81.747,10
1.0,Short,1.1242215496814871,9.736223468420308,1267499
1.0,Long,14.700879471882185,55.89732341690365,234493
2.0,Long,15.574557614826684,59.7509066881543,62050
4.0,Short,1.123069655950373,11.142115411731528,28368
3.0,Medium,3.540201189351432,20.016150725282106,35986
