trip_date,trip_hour,trips,avg_fare,avg_trip_distance
2023-01-01,21,2778,22.60952483801295,4.583516918646505
2023-01-01,17,4099,23.124993900951463,4.4446279580385335
2023-01-01,18,3720,22.465575268817194,4.245881720430107
2023-01-02,1,755,22.739470198675473,5.180543046357617
2023-01-02,14,5195,22.09770356111646,4.413516843118384
2023-01-02,10,3134,19.950095724313954,4.152798340778554
2023-01-03,7,3342,18.00268402154402,4.137420706163974
2023-01-03,20,3848,20.427240124740145,4.249017671517674
2023-01-04,2,382,26.713717277486918,5.994345549738218
2023-01-04,10,4764,18.961188077245993,3.37979848866499
2023-01-05,8,4567,16.23223560324065,3.2042500547405366
2023-01-05,20,5556,18.194368250539895,3.5932127429805663
2023-01-06,12,5191,17.160094394143766,3.0270217684453824
2023-01-06,19,6955,16.851250898634046,3.0576290438533413
2023-01-07,17,6580,17.90039361702134,3.122451367781161
2023-01-07,12,5632,15.919836647727244,2.785468749999993
2023-01-08,14,5725,19.78762969432314,3.769725764192139
2023-01-08,20,3681,21.66156750882912,4.5690138549307315
2023-01-10,1,496,24.154213709677425,5.405705645161287
2023-01-10,17,7175,17.326696864111508,2.956367944250884
2023-01-12,11,5397,19.273205484528376,3.2240856031128455
2023-01-13,0,2918,23.817217272104187,5.195359835503765
2023-01-13,8,4100,17.087170731707328,2.995695121951215
2023-01-13,16,6827,19.618183682437333,3.4698842829939833
2023-01-14,11,5452,16.31181951577405,2.8944130594277326
2023-01-14,21,5884,18.121572059823222,3.3110537049626108
2023-01-15,18,5908,18.63449390656736,3.351101895734601
2023-01-15,23,4056,22.446028106508894,4.838648915187369
2023-01-16,17,5916,19.67878972278565,3.8277738336713996
2023-01-17,1,550,21.888963636363638,4.788872727272724
2023-01-17,21,5454,17.251076274294117,3.378573524019062
2023-01-17,12,5902,18.528607251779142,3.228600474415451
2023-01-20,3,433,18.776905311778293,3.56997690531178
2023-01-21,7,1239,22.646069410815148,4.937853107344633
2023-01-22,3,2401,15.981095376926278,3.044185755935029
2023-01-22,6,723,28.011562932226802,6.582531120331958
2023-01-23,2,234,19.79696581196581,3.8106410256410266
2023-01-25,16,6788,17.64671921037119,2.9140615792575235
2023-01-25,17,7461,17.554968502881657,2.862885672161901
2023-01-25,19,8178,15.334823917828304,2.570749572022493
2023-01-26,3,284,19.796830985915495,3.9896126760563404
2023-01-28,20,5895,17.619860899066985,4.752839694656489
2023-01-28,23,6279,17.42099856665078,3.095282688326172
2023-01-29,15,5704,19.56877103786821,3.6998264375876593
2023-01-30,18,6175,16.31328582995952,2.8785554655870493
2023-01-30,19,5243,17.53848178523744,3.405845889757772
2023-01-30,12,4955,18.110161453077726,3.2157961654893943
2022-12-31,23,19,17.357894736842102,3.655263157894737
2023-01-01,19,3442,22.94937536316092,22.658878558977364
2023-01-02,15,5286,21.88724555429438,4.288796821793421
2023-01-03,4,255,33.65549019607843,7.239372549019611
2023-01-03,6,1868,23.08012847965735,5.9562794432548225
2023-01-05,2,490,19.98516326530614,4.5220204081632644
2023-01-06,2,564,15.275070921985815,2.984131205673759
2023-01-06,10,4809,17.387448533998825,2.975539613225196
2023-01-07,16,6493,18.700914831356858,3.361458493762496
2023-01-08,21,3610,23.567961218836587,5.085504155124645
2023-01-09,14,5516,19.386651559100883,3.65793509789701
2023-01-10,3,193,19.215647668393782,3.677720207253885
2023-01-11,12,5896,17.50061567164179,2.937269335142474
2023-01-12,21,6063,17.601782945736467,3.3634768266534727
2023-01-13,5,667,24.71503748125936,187.68215892053973
2023-01-13,7,3255,18.6980921658986,5.675493087557607
2023-01-14,15,6978,18.647010604757828,3.2943192891946165
2023-01-14,6,740,23.654081081081088,5.261770270270272
2023-01-15,17,6053,20.132378985627003,3.7599653064595913
2023-01-15,19,5216,17.989576303680963,3.3588842024539924
2023-01-16,1,1339,19.079126213592254,4.054376400298724
2023-01-16,5,459,29.076209150326807,7.022418300653594
2023-01-16,22,3277,24.128526090936862,5.395398230088483
2023-01-17,23,2652,22.41188159879334,4.722631975867258
2023-01-19,1,827,17.255066505441363,3.4161547762998805
2023-01-19,9,5809,17.050939920812514,2.5907023584093696
2023-01-19,12,6088,17.9849375821288,2.7843298291721474
2023-01-21,2,3308,15.488802902055616,2.9394377267231016
2023-01-22,13,5696,18.406722261235924,3.4736762640449506
2023-01-22,17,5719,19.812801189019066,3.759349536632272
2023-01-23,16,5712,18.524529061624726,3.4307335434173547
2023-01-24,6,1772,19.856004514672712,5.912968397291189
2023-01-25,11,5310,16.757312617702397,2.674502824858758
2023-01-26,5,568,26.847394366197193,5.772992957746472
2023-01-27,1,1668,16.227559952038355,3.0676738609112726
2023-01-27,4,473,23.152135306553916,4.870591966173358
2023-01-27,3,599,17.72666110183638,3.639332220367274
2023-01-27,10,4937,17.616909054081386,3.080573222604822
2023-01-27,21,6156,16.989171539961042,3.0029954515919366
2023-01-29,3,2463,15.828140479090566,3.020280146163215
2023-01-30,1,505,19.823940594059437,4.159386138613861
2023-01-30,5,595,25.091983193277308,5.4434789915966375
2023-01-31,5,647,23.37911901081916,12.969907264296753
2023-01-31,8,5489,16.560865367097886,2.585405356166891
2023-01-31,19,6586,15.821055268751914,2.8088232614637096
2022-12-31,14,2,7.9,0.475
2023-01-01,2,5097,18.329519325093205,3.359829311359612
2023-01-01,7,1021,27.161792360430905,6.258011753183161
2023-01-01,10,2698,22.437739065974792,4.728317272053373
2023-01-02,5,394,34.67878172588833,7.679441624365485
2023-01-02,20,3607,22.413163293595773,4.808059329082331
